Training model 1/3
Epoch:2/80 Batch:48/106 Train Loss:1.6109
Epoch:2/80 Batch:49/106 Train Loss:1.7918
Epoch:2/80 Batch:50/106 Train Loss:1.8355
Epoch:2/80 Batch:51/106 Train Loss:1.7471
Epoch:2/80 Batch:52/106 Train Loss:1.8155
Epoch:2/80 Batch:53/106 Train Loss:1.8268
Epoch:2/80 Batch:54/106 Train Loss:2.0971
Epoch:2/80 Batch:55/106 Train Loss:1.6830
Epoch:2/80 Batch:56/106 Train Loss:1.7291
Epoch:2/80 Batch:57/106 Train Loss:1.8077
Epoch:2/80 Batch:58/106 Train Loss:1.6497
Epoch:2/80 Batch:59/106 Train Loss:1.5756
Epoch:2/80 Batch:60/106 Train Loss:1.6327
Epoch:2/80 Batch:61/106 Train Loss:1.6725
Epoch:2/80 Batch:62/106 Train Loss:1.4922
Epoch:2/80 Batch:63/106 Train Loss:1.7034
Epoch:2/80 Batch:64/106 Train Loss:1.6983
Epoch:2/80 Batch:65/106 Train Loss:1.7242
Epoch:2/80 Batch:66/106 Train Loss:1.9722
Epoch:2/80 Batch:67/106 Train Loss:1.7823
Epoch:2/80 Batch:68/106 Train Loss:1.9247
Epoch:2/80 Batch:69/106 Train Loss:1.7655
Epoch:2/80 Batch:70/106 Train Loss:1.7383
Epoch:2/80 Batch:71/106 Train Loss:1.7136
Epoch:2/80 Batch:72/106 Train Loss:1.6508
Epoch:2/80 Batch:73/106 Train Loss:1.6151
Epoch:2/80 Batch:74/106 Train Loss:1.6924
Epoch:2/80 Batch:75/106 Train Loss:1.7833
Epoch:2/80 Batch:76/106 Train Loss:1.8712
Epoch:2/80 Batch:77/106 Train Loss:1.7452
Epoch:2/80 Batch:78/106 Train Loss:1.8490
Epoch:2/80 Batch:79/106 Train Loss:1.6718
Epoch:2/80 Batch:80/106 Train Loss:2.0351
Epoch:2/80 Batch:81/106 Train Loss:1.7030
Epoch:2/80 Batch:82/106 Train Loss:1.6845
Epoch:2/80 Batch:83/106 Train Loss:1.7890
Epoch:2/80 Batch:84/106 Train Loss:1.6826
Epoch:2/80 Batch:85/106 Train Loss:1.7319
Epoch:2/80 Batch:86/106 Train Loss:1.8955
